002038,双鹭药业
002039,黔源电力
002040,南 京 港
002041,登海种业
002042,华孚色纺
002043,兔 宝 宝
002044,江苏三友
002045,国光电器
002046,轴研科技
002047,宝鹰股份
002048,宁波华翔
002049,同方国芯
002050,三花股份
002051,中工国际
002052,同洲电子
002053,云南盐化
002054,德美化工
002055,得润电子
002056,横店东磁
002057,中钢天源
002058,威 尔 泰
002059,云南旅游
002060,粤 水 电
002061,江山化工
002062,宏润建设
002063,远光软件
002064,华峰氨纶
002065,东华软件
002066,瑞泰科技
002067,景兴纸业
002068,黑猫股份
002069,獐 子 岛
002070,众和股份
002071,江苏宏宝
002072,德棉股份
002073,软控股份
002074,东源电器
002075,沙钢股份
002076,雪 莱 特
002077,大港股份
002078,太阳纸业
002079,苏州固锝
002080,中材科技
002081,金 螳 螂
002082,栋梁新材
002083,孚日股份
002084,海鸥卫浴
002085,万丰奥威
002086,东方海洋
002087,新野纺织
002088,鲁阳股份
002089,新 海 宜
002090,金智科技
002091,江苏国泰
002092,中泰化学
002093,国脉科技
002094,青岛金王
002095,生 意 宝
002096,南岭民爆
002097,山河智能
002098,浔兴股份
002099,海翔药业
002100,天康生物
002101,广东鸿图
002102,冠福家用
002103,广博股份
002104,恒宝股份
002105,信隆实业
002106,莱宝高科
002107,沃华医药
002108,沧州明珠
002109,兴化股份
002110,三钢闽光
002111,威海广泰
002112,三变科技
002113,天润控股
002114,罗平锌电
002115,三维通信
002116,中国海诚
002117,东港股份
002118,紫鑫药业
002119,康强电子
002120,新海股份
002121,科陆电子
002122,天马股份
002123,荣信股份
002124,天邦股份
002125,湘潭电化
002126,银轮股份
002127,*ST新民 
002128,露天煤业
002129,中环股份
002130,沃尔核材
002131,利欧股份
002132,恒星科技
002133,广宇集团
002134,*ST普林 
002135,东南网架
002136,安 纳 达
002137,实 益 达
002138,顺络电子
002139,拓邦股份
002140,东华科技
002141,蓉胜超微
002142,宁波银行
002143,高金食品
002144,宏达高科
002145,中核钛白
002146,荣盛发展
002147,方圆支承
002148,北纬通信
002149,西部材料
002150,通润装备
002151,北斗星通
002152,广电运通
002153,石基信息
002154,报 喜 鸟
002155,辰州矿业
002156,通富微电
002157,正邦科技
002158,汉钟精机
002159,三特索道
002160,*ST常铝 
002161,远 望 谷
002162,斯米克  
002163,中航三鑫
002164,宁波东力
002165,红 宝 丽
002166,莱茵生物
002167,东方锆业
002168,深圳惠程
002169,智光电气
002170,芭田股份
002171,精诚铜业
002172,澳洋科技
002173,千足珍珠
002174,梅 花 伞
002175,广陆数测
002176,江特电机
002177,御银股份
002178,延华智能
002179,中航光电
002180,万 力 达
002181,粤 传 媒
002182,云海金属
002183,怡 亚 通
002184,海得控制
002185,华天科技
002186,全 聚 德
002187,广百股份
002188,新 嘉 联
002189,利达光电
002190,成飞集成
002191,劲嘉股份
002192,路翔股份
002193,山东如意
002194,武汉凡谷
002195,海隆软件
002196,方正电机
002197,证通电子
002198,嘉应制药
002199,东晶电子
002200,绿大地  
002201,九鼎新材
002202,金风科技
002203,海亮股份
002204,大连重工
002205,国统股份
002206,海 利 得
002207,准油股份
002208,合肥城建
002209,达 意 隆
002210,飞马国际
002211,宏达新材
002212,南洋股份
002213,特 尔 佳
002214,大立科技
002215,诺 普 信
002216,三全食品
002217,联合化工
002218,拓日新能
002219,恒康医疗
002220,天宝股份
002221,东华能源
002222,福晶科技
002223,鱼跃医疗
002224,三 力 士
002225,濮耐股份
002226,江南化工
002227,奥 特 迅
002228,合兴包装
002229,鸿博股份
002230,科大讯飞
002231,奥维通信
002232,启明信息
002233,塔牌集团
002234,民和股份
002235,安妮股份
002236,大华股份
002237,恒邦股份
002238,天威视讯
002239,金 飞 达
002240,威华股份
002241,歌尔声学
002242,九阳股份
002243,通产丽星
002244,滨江集团
002245,澳洋顺昌
002246,北化股份
002247,帝龙新材
002248,华东数控
002249,大洋电机
002250,联化科技
002251,步 步 高
002252,上海莱士
002253,川大智胜
002254,泰和新材
002255,海陆重工
002256,彩虹精化
002258,利尔化学
002259,升达林业
002260,伊 立 浦
002261,拓维信息
002262,恩华药业
002263,大 东 南
002264,新 华 都
002265,西仪股份
002266,浙富控股
002267,陕天然气
002268,卫 士 通
002269,美邦服饰
002270,法因数控
002271,东方雨虹
002272,川润股份
002273,水晶光电
002274,华昌化工
002275,桂林三金
002276,万马电缆
002277,友阿股份
002278,神开股份
002279,久其软件
002280,新世纪  
002281,光迅科技
002282,博深工具
002283,天润曲轴
002284,亚太股份
002285,世联行  
002286,保龄宝  
002287,奇正藏药
002288,超华科技
002289,宇顺电子
002290,禾盛新材
002291,星期六  
002292,奥飞动漫
002293,罗莱家纺
002294,信立泰  
002295,精艺股份
002296,辉煌科技
002297,博云新材
002298,鑫龙电器
002299,圣农发展
002300,太阳电缆
002301,齐心文具
002302,西部建设
002303,美盈森  
002304,洋河股份
002305,南国置业
002306,湘鄂情  
002307,北新路桥
002308,威创股份
002309,中利科技
002310,东方园林
002311,海大集团
002312,三泰电子
002313,日海通讯
002314,雅致股份
002315,焦点科技
002316,键桥通讯
002317,众生药业
002318,久立特材
002319,乐通股份
002320,海峡股份
002321,华英农业
002322,理工监测
002323,中联电气
002324,普利特  
002325,洪涛股份
002326,永太科技
002327,富安娜  
002328,新朋股份
002329,皇氏乳业
002330,得利斯  
002331,皖通科技
002332,仙琚制药
002333,罗普斯金
002334,英威腾  
002335,科华恒盛
002336,人人乐  
002337,赛象科技
002338,奥普光电
002339,积成电子
002340,格林美  
002341,新纶科技
002342,巨力索具
002343,禾欣股份
002344,海宁皮城
002345,潮宏基  
002346,柘中建设
002347,泰尔重工
002348,高乐股份
002349,精华制药
002350,北京科锐
002351,漫步者  
002352,鼎泰新材
002353,杰瑞股份
002354,科冕木业
002355,兴民钢圈
002356,浩宁达  
002357,富临运业
002358,森源电气
002359,齐星铁塔
002360,同德化工
002361,神剑股份
002362,汉王科技
002363,隆基机械
002364,中恒电气
002365,永安药业
002366,丹甫股份
002367,康力电梯
002368,太极股份
002369,卓翼科技
002370,亚太药业
002371,七星电子
002372,伟星新材
002373,*ST联信 
002374,丽鹏股份
002375,亚厦股份
002376,新北洋  
002377,国创高新
002378,章源钨业
002379,鲁丰环保
002380,科远股份
002381,双箭股份
002382,蓝帆股份
002383,合众思壮
002384,东山精密
002385,大北农  
002386,天原集团
002387,黑牛食品
002388,新亚制程
002389,南洋科技
002390,信邦制药
002391,长青股份
002392,北京利尔
002393,力生制药
002394,联发股份
002395,双象股份
002396,星网锐捷
002397,梦洁家纺
002398,建研集团
002399,海普瑞  
002400,省广股份
002401,中海科技
002402,和而泰  
002403,爱仕达  
002404,嘉欣丝绸
002405,四维图新
002406,远东传动
002407,多氟多  
002408,齐翔腾达
002409,雅克科技
002410,广联达  
002411,九九久  
002412,汉森制药
002413,常发股份
002414,高德红外
002415,海康威视
002416,爱施德  
002417,三元达  
002418,康盛股份
002419,天虹商场
002420,毅昌股份
002421,达实智能
002422,科伦药业
002423,中原特钢
002424,贵州百灵
002425,凯撒股份
